id,tenses.0,tenses.1,tenses.2,tenses.3,sentences.0,sentences.1
1118,herewith,,,,"The tabulations, herewith the original pieces of data, will be given to the statistician.",
1119,heroic,,,,That was very heroic of you to admit you were wrong.,
1120,highway,,,,Will you take the highway because it's faster or the back roads because they're closer?,
1121,hill,,,,Jack went up the hill to fetch a pail of water.,
1122,hindrance,,,,The continual interruptions have been a hindrance but I understand why they are necessary.,
1123,hippopotamus,,,,"If you can train that hippopotamus to allow the monkey to hold his leash, it will be the best circus act.",
1124,history,,,,"We can learn many things from history, but mainly that we don't learn from history.",
1125,hither,,,,We could go hither and yon distributing our pamphlets.,
1126,hoarse,,,,I am a bit hoarse; I hope I'm not getting laryngitis.,
1127,hoe,,,,You must have a hoe if you're a gardener.,
1128,hold,held,holding,,I could hold the baby for you if you want to take a swim.,
1129,hole,,,,The snake came out of the hole and we all screamed.,
1130,holiday,,,,What will you do special for the upcoming holiday?,
1131,hollow,,,,The chocolate bunny was hollow so it wasn't as fattening as you might think.,
1132,home,,,,I am so tired that I just want to go home and go to sleep.,
1133,homework,,,,We were assigned a bunch of homework but I haven't even started on it yet.,
1134,hominy,,,,Hominy is made from corn but what are grits made from?,
1135,honest,,,,Do not be so honest or they'll always expect it of you.,
1136,honey,,,,I like to use honey in cooking sometimes instead of sugar.,
1137,honor,honored,,,The soldier had received all kinds of metals indicating the way he honored his country.,
1138,hope,,,,I hope you are not thinking of going out with him.,
1139,horizon,,,,Just on the horizon I thought I could see land.,
1140,horrible,,,,The movie was so horrible that I had to walk out before the first half ended.,
1141,horror,,,,"In horror, her mother picked up the clothes that had been dirtied by our playing in the mud.",
1142,horse,,,,I used to own a white horse but unfortunately I had to sell her.,
1143,hospital,,,,How many doctors does that hospital employ?,
1144,hotel,,,,Why don't we stay at that nice hotel next to the river?,
1145,hour,hours,hourly,,"The train runs on the hour, every hour.",
1146,house,,,,I wish I could move out of this apartment into a house with a yard.,
1147,household,,,,Does anyone in your household play the piano?,
1148,however,,,,"He finished writing the paper, however, he still needs to type it in.",
1149,howl,howled,howling,,Just then I heard the howl of a wolf and I started running.,
1150,human,,,,When did the first human evolve on this earth?,
1151,humble,,,,All your important sounding titles make me feel very humble.,
1152,hundred,,,,I have two hundred mouths to feed on this ship three times every day.,
1153,hungry,,,,I wouldn't let you go hungry; come and eat something.,
1154,hurrah,,,,Hurrah for you; I never thought you could actually graduate.,
1155,hurry,,,,Please don't hurry; we have plenty of time to see the entire museum.,
1156,hurt,,,,"Baby, don't hurt me; it wouldn't be nice.",
1157,husband,,,,Her husband was a general in the army.,
1158,hygiene,,,,Personal hygiene is very important for the health of our community.,
1159,hymn,hymns,,,Our church services always include the singing of at least three hymns.,
1160,hypocrisy,hypocrite,hypocritical,,I have never seen so much hypocrisy in a so-called spiritual leader.,
1161,ice,,,,I love to go ice skating but I always have to rent my ice skates.,
1162,idea,,,,Your idea to bring along a picnic lunch was wonderful.,
1163,idol,idolize,,,Thomas Jefferson is an idol of mine; I admire the concepts he promoted.,
1164,ignorance,ignore,,,You can tell there's a lot of ignorance in this crowd. When will people learn the subject?,
1165,ignorant,,,,I feel totally ignorant in the subject of computers.,
1166,illiterate,,,,What is the percentage of people who are illiterate and what percentage can read?,
1167,illustrate,,,,I would like to illustrate my point by drawing a picture.,
1168,imagination,,,,Use your imagination to picture how this room will look with all the new furniture.,
1169,imitate,imitation,,,The little girl was so funny because she could imitate her mother.,
1170,immediately,immediate,,,"After you've given your speech, immediately get off the stage so we can hurry this evening along.",
1171,immense,,,,She has displayed immense commitment to our project so far.,
1172,immigrant,immigrate,,,When were most immigrants sworn in as citizens?,
1173,immortal,,,,"Sometimes he acts as if he is immortal, doing all kinds of daredevil acts.",
1174,immunity,,,,The witness has immunity from being convicted so is testifying against the mobster.,
1175,impatient,,,,Don't be impatient; everything will be done in due time.,
1176,imperial,,,,Is that an imperial tradition or does everyone do that?,
1177,importance,,,,What is the importance of our being present at the discussion?,
1178,important,,,,"I have many important goals, but none as important as catching up on my reading.",
1179,impose,,,,We could impose a tax on wages but that would be counter-productive.,
1180,impossible,,,,Are you saying it's impossible to determine whose signature that is?,
1181,impression,,,,What are your first impressions of our new teacher?,
1182,improvement,,,,The new coat of paint is a drastic improvement to this room.,
1183,inauguration,,,,I would like to attend the inauguration ceremony of the president in Washington.,
1184,incline,inclined,,,To get these heavy pieces of furniture up there we will need some kind of gradual incline rather than just steps.,
1185,include,included,,,He would have included your article in the last edition but it hadn't been edited yet.,
1186,inconvenience,inconvenient,,,It has been a great inconvenience for us to attend every meeting because they were always the same day as our workouts.,
1187,increase,increasing,increased,,I could increase your salary but what have you done to deserve it?,
1188,independence,,,,Doesn't every country celebrate some kind of independence day?,
1189,independent,,,,My niece is very independent even though she is only seven years old.,
1190,indicate,,,,How do we indicate that these marks are the block numbers and not the lot numbers?,
1191,indigestion,,,,That kind of ethnic food gives me indigestion so I try to avoid it.,
1192,indignation,,,,They all showed much indignation after finding out that presenters were changed.,
1193,individual,individually,,,Do you file taxes as an individual or as a married couple?,
1194,indivisible,,,,"The atom at one time seemed indivisible, but science is continually discovering what parts make up substances.",
1195,induce,induced,,,The doctor may induce labor if the baby doesn't come on its own within a couple days.,
1196,industrial,,,,This is the industrial part of town; next we'll visit the residential part.,
1197,industrious,,,,Mary is very industrious when on the job but lethargic at home.,
1198,industry,,,,"Today, class, we are going to study the coal industry and all its transformations.",
1199,inferior,,,,I feel inferior when I'm around him even though I know he's not always right.,
1200,infinite,,,,The universe is seemingly infinite but what if we found out it were actually finite?,
1201,influence,,,,Do you have any influence over Professor Jones? We would like him to participate in this project.,
1202,information,,,,Are you sure your information is correct or do you need to double-check it?,
1203,inhabitant,,,,"If the inhabitants of that small country are happy, why mess around with their cultural traditions?",
